From, To, Tempo, Qtde, Kind, Lat, Lon
n281,n476,420,0,32,-49.269898850000004,-25.4372513
n476,n281,420,0,31,-49.269898850000004,-25.4372513
n315,n476,420,0,31,-49.2702827,-25.43739795
n476,n315,420,0,32,-49.2702827,-25.43739795
n292,n11,420,0,41,-49.259028,-25.43465195
n6,n133,420,0,34,-49.2602938,-25.43568485
n133,n6,420,0,33,-49.2602938,-25.43568485
n6,n10,420,0,42,-49.260166850000005,-25.435826650000003
n10,n6,420,0,41,-49.260166850000005,-25.435826650000003
n247,n369,420,0,63,-49.2719388,-25.436081950000002
n369,n247,420,0,63,-49.2719388,-25.436081950000002
n369,n262,420,0,61,-49.271714450000005,-25.435189700000002
n341,n167,420,0,40,-49.264893900000004,-25.43963375
n119,n516,420,0,30,-49.258767500000005,-25.433020900000002
n354,n447,420,0,31,-49.2672853,-25.44055255
n134,n472,420,0,42,-49.2608595,-25.4354776
n472,n134,420,0,45,-49.2608595,-25.4354776
n6,n286,420,0,41,-49.26072425,-25.4358377
n286,n6,420,0,42,-49.26072425,-25.4358377
n129,n472,420,0,45,-49.26144225,-25.4357361
n472,n129,420,0,41,-49.26144225,-25.4357361
n315,n369,420,0,33,-49.2710213,-25.4366996
n369,n315,420,0,33,-49.2710213,-25.4366996
n475,n369,420,0,63,-49.27106715,-25.43573775
n475,n476,420,0,41,-49.27032855,-25.4364361
n476,n475,420,0,41,-49.27032855,-25.4364361
n382,n475,420,0,63,-49.2703022,-25.435447699999997
n475,n382,420,0,63,-49.2703022,-25.435447699999997
n123,n383,420,0,63,-49.2680756,-25.434561000000002
n383,n123,420,0,63,-49.2680756,-25.434561000000002
n101,n383,420,0,60,-49.26914275,-25.4341691
n383,n101,420,0,60,-49.26914275,-25.4341691
n82,n123,420,0,61,-49.2676496,-25.433593100000003
n123,n82,420,0,61,-49.2676496,-25.433593100000003
n114,n31,420,0,43,-49.2647137,-25.434203500000002
n32,n81,420,0,61,-49.2639037,-25.432495600000003
n81,n32,420,0,61,-49.2639037,-25.432495600000003
n308,n81,420,0,61,-49.264193,-25.431840700000002
n32,n478,420,0,63,-49.26323415,-25.43256495
n478,n32,420,0,63,-49.26323415,-25.43256495
n117,n478,420,0,42,-49.26230225,-25.4332368
n478,n117,420,0,42,-49.26230225,-25.4332368
n131,n478,420,0,40,-49.26230245,-25.4321848
n478,n131,420,0,40,-49.26230245,-25.4321848
n38,n199,420,0,61,-49.26205245,-25.43133415
n313,n329,420,0,41,-49.2722948,-25.43901795
n329,n313,420,0,41,-49.2722948,-25.43901795
n325,n329,420,0,40,-49.272536849999995,-25.4397893
n11,n119,420,0,42,-49.2588691,-25.4338227
n119,n11,420,0,52,-49.2588691,-25.4338227
n39,n297,420,0,42,-49.258538099999996,-25.43556035
n297,n39,420,0,40,-49.258538099999996,-25.43556035
n213,n297,420,0,40,-49.2594352,-25.435573050000002
